user_id,experiment_id,group,enter_time,experiment_version
U000001,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000002,EXP_FINISH_PAGE_001,treatment,2026-06-24 15:00:00,v1
U000003,EXP_FINISH_PAGE_001,control,2026-06-17 08:00:00,v1
U000004,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000005,EXP_FINISH_PAGE_001,control,2026-05-17 18:00:00,v1
U000006,EXP_FINISH_PAGE_001,control,2026-06-22 14:00:00,v1
U000007,EXP_FINISH_PAGE_001,treatment,2026-05-16 20:00:00,v1
U000008,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000009,EXP_FINISH_PAGE_001,treatment,2026-06-10 20:00:00,v1
U000010,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000011,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000012,EXP_FINISH_PAGE_001,control,2026-06-29 19:00:00,v1
U000013,EXP_FINISH_PAGE_001,control,2026-05-17 11:00:00,v1
U000014,EXP_FINISH_PAGE_001,treatment,2026-06-20 19:00:00,v1
U000015,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000016,EXP_FINISH_PAGE_001,control,2026-05-25 16:00:00,v1
U000017,EXP_FINISH_PAGE_001,control,2026-06-24 11:00:00,v1
U000018,EXP_FINISH_PAGE_001,control,2026-05-24 16:00:00,v1
U000019,EXP_FINISH_PAGE_001,treatment,2026-05-15 09:00:00,v1
U000020,EXP_FINISH_PAGE_001,treatment,2026-06-23 11:00:00,v1
U000021,EXP_FINISH_PAGE_001,treatment,2026-06-07 21:00:00,v1
U000022,EXP_FINISH_PAGE_001,control,2026-05-31 10:00:00,v1
U000023,EXP_FINISH_PAGE_001,treatment,2026-06-06 21:00:00,v1
U000024,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000025,EXP_FINISH_PAGE_001,control,2026-06-02 08:00:00,v1
U000026,EXP_FINISH_PAGE_001,control,2026-05-24 09:00:00,v1
U000027,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000028,EXP_FINISH_PAGE_001,treatment,2026-06-24 08:00:00,v1
U000029,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000030,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000031,EXP_FINISH_PAGE_001,control,2026-06-14 18:00:00,v1
U000032,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000033,EXP_FINISH_PAGE_001,control,2026-06-03 11:00:00,v1
U000034,EXP_FINISH_PAGE_001,treatment,2026-06-17 16:00:00,v1
U000035,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000036,EXP_FINISH_PAGE_001,treatment,2026-06-02 12:00:00,v1
U000037,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000038,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000039,EXP_FINISH_PAGE_001,control,2026-06-20 16:00:00,v1
U000040,EXP_FINISH_PAGE_001,control,2026-06-02 08:00:00,v1
U000041,EXP_FINISH_PAGE_001,control,2026-06-01 16:00:00,v1
U000042,EXP_FINISH_PAGE_001,control,2026-06-27 21:00:00,v1
U000043,EXP_FINISH_PAGE_001,control,2026-05-26 11:00:00,v1
U000044,EXP_FINISH_PAGE_001,treatment,2026-05-30 12:00:00,v1
U000045,EXP_FINISH_PAGE_001,control,2026-06-25 13:00:00,v1
U000046,EXP_FINISH_PAGE_001,control,2026-06-12 17:00:00,v1
U000047,EXP_FINISH_PAGE_001,treatment,2026-06-27 16:00:00,v1
U000048,EXP_FINISH_PAGE_001,treatment,2026-06-26 13:00:00,v1
U000049,EXP_FINISH_PAGE_001,control,2026-05-19 15:00:00,v1
U000050,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000051,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000052,EXP_FINISH_PAGE_001,treatment,2026-06-03 21:00:00,v1
U000053,EXP_FINISH_PAGE_001,treatment,2026-05-16 21:00:00,v1
U000054,EXP_FINISH_PAGE_001,control,2026-05-17 15:00:00,v1
U000055,EXP_FINISH_PAGE_001,treatment,2026-05-26 16:00:00,v1
U000056,EXP_FINISH_PAGE_001,treatment,2026-05-31 21:00:00,v1
U000057,EXP_FINISH_PAGE_001,control,2026-06-21 16:00:00,v1
U000058,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000059,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000060,EXP_FINISH_PAGE_001,treatment,2026-05-20 18:00:00,v1
U000061,EXP_FINISH_PAGE_001,control,2026-06-06 09:00:00,v1
U000062,EXP_FINISH_PAGE_001,treatment,2026-06-25 20:00:00,v1
U000063,EXP_FINISH_PAGE_001,treatment,2026-06-27 18:00:00,v1
U000064,EXP_FINISH_PAGE_001,treatment,2026-06-09 14:00:00,v1
U000065,EXP_FINISH_PAGE_001,treatment,2026-06-07 14:00:00,v1
U000066,EXP_FINISH_PAGE_001,treatment,2026-05-29 14:00:00,v1
U000067,EXP_FINISH_PAGE_001,control,2026-06-17 21:00:00,v1
U000068,EXP_FINISH_PAGE_001,control,2026-05-26 09:00:00,v1
U000069,EXP_FINISH_PAGE_001,control,2026-05-28 12:00:00,v1
U000070,EXP_FINISH_PAGE_001,control,2026-06-06 16:00:00,v1
U000071,EXP_FINISH_PAGE_001,control,2026-06-20 19:00:00,v1
U000072,EXP_FINISH_PAGE_001,control,2026-05-27 13:00:00,v1
U000073,EXP_FINISH_PAGE_001,treatment,2026-06-18 16:00:00,v1
U000074,EXP_FINISH_PAGE_001,treatment,2026-05-29 09:00:00,v1
U000075,EXP_FINISH_PAGE_001,treatment,2026-06-20 14:00:00,v1
U000076,EXP_FINISH_PAGE_001,control,2026-05-16 21:00:00,v1
U000077,EXP_FINISH_PAGE_001,treatment,2026-06-25 18:00:00,v1
U000078,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000079,EXP_FINISH_PAGE_001,control,2026-06-19 20:00:00,v1
U000080,EXP_FINISH_PAGE_001,treatment,2026-05-25 20:00:00,v1
U000081,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000082,EXP_FINISH_PAGE_001,treatment,2026-06-13 21:00:00,v1
U000083,EXP_FINISH_PAGE_001,treatment,2026-06-27 21:00:00,v1
U000084,EXP_FINISH_PAGE_001,control,2026-05-19 15:00:00,v1
U000085,EXP_FINISH_PAGE_001,control,2026-05-27 20:00:00,v1
U000086,EXP_FINISH_PAGE_001,control,2026-06-23 11:00:00,v1
U000087,EXP_FINISH_PAGE_001,treatment,2026-06-02 18:00:00,v1
U000088,EXP_FINISH_PAGE_001,treatment,2026-06-24 18:00:00,v1
U000089,EXP_FINISH_PAGE_001,control,2026-06-25 09:00:00,v1
U000090,EXP_FINISH_PAGE_001,treatment,2026-06-11 19:00:00,v1
U000091,EXP_FINISH_PAGE_001,control,2026-06-21 12:00:00,v1
U000092,EXP_FINISH_PAGE_001,control,2026-05-20 21:00:00,v1
U000093,EXP_FINISH_PAGE_001,control,2026-06-26 20:00:00,v1
U000094,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000095,EXP_FINISH_PAGE_001,control,2026-06-03 17:00:00,v1
U000096,EXP_FINISH_PAGE_001,control,2026-06-22 12:00:00,v1
U000097,EXP_FINISH_PAGE_001,treatment,2026-06-06 20:00:00,v1
U000098,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000099,EXP_FINISH_PAGE_001,treatment,2026-05-15 17:00:00,v1
U000100,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000101,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000102,EXP_FINISH_PAGE_001,control,2026-05-17 13:00:00,v1
U000103,EXP_FINISH_PAGE_001,control,2026-06-19 17:00:00,v1
U000104,EXP_FINISH_PAGE_001,control,2026-06-06 19:00:00,v1
U000105,EXP_FINISH_PAGE_001,control,2026-06-08 20:00:00,v1
U000106,EXP_FINISH_PAGE_001,control,2026-06-03 08:00:00,v1
U000107,EXP_FINISH_PAGE_001,control,2026-06-15 13:00:00,v1
U000108,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000109,EXP_FINISH_PAGE_001,treatment,2026-05-15 10:00:00,v1
U000110,EXP_FINISH_PAGE_001,treatment,2026-06-24 20:00:00,v1
U000111,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
U000112,EXP_FINISH_PAGE_001,treatment,2026-06-14 09:00:00,v1
U000113,EXP_FINISH_PAGE_001,treatment,2026-06-20 13:00:00,v1
U000114,EXP_FINISH_PAGE_001,control,2026-05-31 18:00:00,v1
U000115,EXP_FINISH_PAGE_001,treatment,2026-05-27 18:00:00,v1
U000116,EXP_FINISH_PAGE_001,control,2026-05-15 20:00:00,v1
U000117,EXP_FINISH_PAGE_001,control,2026-05-29 14:00:00,v1
U000118,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000119,EXP_FINISH_PAGE_001,treatment,2026-05-27 14:00:00,v1
U000120,EXP_FINISH_PAGE_001,treatment,2026-05-20 12:00:00,v1
U000121,EXP_FINISH_PAGE_001,control,2026-06-02 20:00:00,v1
U000122,EXP_FINISH_PAGE_001,treatment,2026-06-20 17:00:00,v1
U000123,EXP_FINISH_PAGE_001,treatment,2026-06-23 13:00:00,v1
U000124,EXP_FINISH_PAGE_001,treatment,2026-05-23 13:00:00,v1
U000125,EXP_FINISH_PAGE_001,treatment,2026-05-30 20:00:00,v1
U000126,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000127,EXP_FINISH_PAGE_001,control,2026-06-07 12:00:00,v1
U000128,EXP_FINISH_PAGE_001,treatment,2026-05-15 00:00:00,v1
U000129,EXP_FINISH_PAGE_001,treatment,2026-06-19 17:00:00,v1
U000130,EXP_FINISH_PAGE_001,control,2026-06-06 13:00:00,v1
U000131,EXP_FINISH_PAGE_001,control,2026-05-15 00:00:00,v1
