task_id,model_version,clarity_score,motion_score,style_score,human_score,complaint_flag
T00000002,Model_A,3.74,4.1,3.11,3.4,0
T00000009,Model_A,3.12,2.49,3.42,3.11,0
T00000010,Model_A,2.83,4.04,3.9,3.45,0
T00000011,Model_A,3.8,3.32,3.74,3.73,0
T00000012,Model_A,3.48,3.53,3.32,3.55,0
T00000013,Model_A,2.66,2.91,3.33,2.93,0
T00000016,Model_A,3.58,3.96,3.93,3.96,0
T00000025,Model_A,3.6,3.56,3.62,3.62,0
T00000026,Model_A,4.1,4.82,3.86,4.52,0
T00000029,Model_A,4.19,4.05,2.79,3.79,0
T00000030,Model_A,4.52,3.35,3.3,3.92,0
T00000032,Model_A,3.21,3.48,3.8,3.23,0
T00000040,Model_A,3.45,2.69,2.59,3.16,0
T00000041,Model_A,4.26,3.89,3.72,4.04,0
T00000043,Model_A,4.23,3.62,2.89,3.75,0
T00000044,Model_A,4.89,3.56,3.73,4.39,0
T00000047,Model_A,3.32,3.07,3.43,3.32,0
T00000048,Model_A,4.13,2.54,3.46,3.19,0
T00000050,Model_A,2.56,3.35,3.01,2.91,0
T00000052,Model_A,3.78,3.36,3.46,3.69,0
T00000054,Model_A,3.31,3.44,3.48,3.49,0
T00000055,Model_A,3.26,3.98,2.96,3.1,0
T00000057,Model_A,2.95,3.21,2.87,3.01,0
T00000058,Model_A,3.76,4.47,3.44,3.79,0
T00000059,Model_A,3.45,3.21,3.34,3.4,0
T00000064,Model_A,3.42,3.46,3.93,3.55,0
T00000066,Model_A,3.37,3.29,3.86,3.24,0
T00000070,Model_A,3.49,3.26,3.39,3.18,0
T00000080,Model_A,3.96,2.94,3.12,3.53,0
T00000085,Model_A,3.54,4.11,4.66,4.11,0
T00000100,Model_A,3.62,3.65,4.0,3.38,0
T00000104,Model_A,4.09,3.64,3.49,3.69,0
T00000106,Model_A,3.23,3.59,3.08,3.25,0
T00000108,Model_A,3.88,3.93,3.46,3.83,0
T00000110,Model_A,3.55,3.98,2.97,3.52,0
T00000113,Model_A,4.25,3.01,3.38,3.57,0
T00000115,Model_A,3.37,3.95,4.42,3.89,0
T00000121,Model_A,4.28,3.35,3.84,3.72,0
T00000134,Model_A,3.59,2.78,3.51,3.44,0
T00000136,Model_A,3.46,3.91,3.72,3.68,0
T00000137,Model_A,3.55,2.83,3.34,3.19,0
T00000140,Model_A,4.03,3.42,3.66,3.98,0
T00000141,Model_A,3.82,3.64,3.66,3.77,0
T00000142,Model_A,3.63,3.73,3.57,3.6,0
T00000144,Model_A,3.73,4.36,2.63,3.56,0
T00000147,Model_A,4.46,2.87,2.67,3.28,0
T00000149,Model_A,3.02,3.73,2.87,3.48,0
T00000153,Model_A,4.02,3.55,3.79,3.89,0
T00000157,Model_A,3.1,3.73,3.45,3.42,0
T00000159,Model_A,3.51,3.9,4.02,3.66,0
T00000163,Model_A,4.62,3.85,2.39,3.56,0
T00000164,Model_A,3.76,4.25,2.76,3.59,0
T00000165,Model_A,3.74,3.15,3.35,3.38,0
T00000171,Model_A,3.86,3.19,3.71,3.56,0
T00000172,Model_A,3.49,2.89,3.69,3.4,0
T00000173,Model_A,2.89,3.92,3.39,3.33,0
T00000174,Model_A,2.67,4.21,3.84,3.61,0
T00000175,Model_A,3.6,4.06,3.16,3.62,0
T00000176,Model_A,4.07,3.8,4.18,4.04,0
T00000183,Model_A,3.59,2.97,3.75,3.4,0
T00000187,Model_A,3.67,3.79,3.36,3.71,0
T00000188,Model_A,3.59,4.26,2.76,3.85,0
T00000190,Model_A,3.93,2.78,2.85,2.87,0
T00000192,Model_A,4.1,3.28,3.75,3.82,0
T00000193,Model_A,3.36,4.08,3.8,4.05,0
T00000197,Model_A,3.1,2.95,4.2,3.47,0
T00000200,Model_A,3.57,3.25,2.43,3.14,0
T00000206,Model_A,3.45,3.66,4.17,3.48,0
T00000207,Model_A,4.08,2.88,3.69,3.78,0
T00000208,Model_A,3.98,3.67,3.29,3.71,0
T00000210,Model_A,2.99,2.91,2.55,3.1,0
T00000212,Model_A,2.91,3.47,3.73,3.46,0
T00000215,Model_A,3.7,4.18,2.9,3.57,0
T00000217,Model_A,4.18,3.71,2.78,3.49,0
T00000218,Model_A,2.79,3.75,3.56,3.38,0
T00000220,Model_A,3.7,4.12,3.12,3.91,0
T00000221,Model_A,4.65,3.22,2.6,3.7,0
T00000223,Model_A,3.57,3.69,3.82,3.82,0
T00000226,Model_A,3.6,3.93,2.83,3.56,0
T00000229,Model_A,3.6,3.98,3.53,3.83,0
T00000233,Model_A,3.2,4.33,3.71,3.8,0
T00000236,Model_A,3.58,3.51,2.81,3.16,0
T00000238,Model_A,3.65,2.89,3.38,3.3,0
T00000239,Model_A,3.54,3.19,3.98,3.48,0
T00000241,Model_A,4.25,2.45,3.82,3.42,0
T00000243,Model_A,3.2,3.47,4.67,3.91,0
T00000244,Model_A,3.11,3.11,4.1,3.05,0
T00000247,Model_A,3.32,3.33,3.54,3.31,0
T00000248,Model_A,3.94,3.42,3.69,3.57,0
T00000249,Model_A,3.44,3.7,3.46,3.32,0
T00000250,Model_A,3.55,4.01,2.91,3.38,0
T00000257,Model_A,3.55,3.79,3.35,3.6,0
T00000259,Model_A,3.74,3.75,4.01,3.9,0
T00000260,Model_A,4.26,3.65,2.7,3.43,0
T00000261,Model_A,4.54,3.71,3.49,3.99,0
T00000262,Model_A,4.06,4.78,3.48,4.25,0
T00000264,Model_A,3.52,3.69,3.44,3.73,0
T00000269,Model_A,3.31,3.24,2.97,3.22,0
T00000270,Model_A,4.08,3.49,3.71,3.89,0
T00000271,Model_A,2.64,4.27,3.58,3.1,0
T00000280,Model_A,3.88,3.16,3.97,3.67,0
T00000281,Model_A,3.71,3.27,2.97,3.41,0
T00000287,Model_A,3.5,3.06,2.94,3.32,0
T00000288,Model_A,3.31,4.07,2.41,3.64,0
T00000289,Model_A,4.18,3.35,3.81,3.99,0
T00000295,Model_A,3.84,3.35,3.08,3.56,0
T00000296,Model_A,3.83,4.12,3.81,3.85,0
T00000302,Model_A,3.08,3.23,3.19,3.16,0
T00000306,Model_A,3.38,3.7,3.97,3.84,0
T00000307,Model_A,3.68,3.89,3.24,3.83,0
T00000309,Model_A,3.24,3.47,3.69,3.71,0
T00000310,Model_A,3.67,3.45,3.13,3.61,0
T00000312,Model_A,3.5,4.0,2.77,3.47,0
