order_id,user_id,task_id,order_time,plan_type,amount,pay_status,pay_entrance
O0000001,U000001,T00000001,2026-05-12 03:39:42,hd_export,6.9,failed,popup
O0000002,U000005,T00000019,2026-06-28 01:50:55,credit_pack,29.0,failed,member_center
O0000003,U000007,T00000024,2026-06-02 13:13:39,monthly_member,39.0,failed,finish_page
O0000004,U000007,T00000027,2026-06-09 17:41:06,hd_export,6.9,failed,finish_page
O0000005,U000009,T00000033,2026-06-15 20:21:06,hd_export,6.9,failed,member_center
O0000006,U000009,T00000035,2026-06-26 00:08:32,hd_export,6.9,failed,popup
O0000007,U000010,T00000040,2026-06-13 16:42:04,monthly_member,39.0,failed,download_page
O0000008,U000011,T00000050,2026-06-11 14:11:56,monthly_member,39.0,failed,popup
O0000009,U000013,T00000056,2026-06-05 03:48:00,remove_watermark,9.9,failed,finish_page
O0000010,U000015,T00000073,2026-06-23 00:03:52,credit_pack,29.0,failed,download_page
O0000011,U000016,T00000079,2026-06-20 13:30:16,monthly_member,39.0,failed,download_page
O0000012,U000018,T00000089,2026-06-14 14:16:02,remove_watermark,9.9,failed,member_center
O0000013,U000019,T00000091,2026-06-11 14:46:40,hd_export,6.9,failed,finish_page
O0000014,U000019,T00000093,2026-06-19 18:06:13,monthly_member,39.0,success,popup
O0000015,U000029,T00000128,2026-06-20 00:43:41,hd_export,6.9,failed,popup
O0000016,U000030,T00000136,2026-06-15 09:36:41,hd_export,6.9,failed,member_center
O0000017,U000032,T00000145,2026-05-22 04:28:39,remove_watermark,9.9,success,download_page
O0000018,U000032,T00000147,2026-06-23 05:46:59,hd_export,6.9,failed,member_center
O0000019,U000044,T00000193,2026-06-29 07:39:47,hd_export,6.9,failed,download_page
O0000020,U000051,T00000223,2026-06-23 01:11:07,remove_watermark,9.9,failed,finish_page
O0000021,U000054,T00000236,2026-05-25 08:33:44,hd_export,6.9,failed,popup
O0000022,U000055,T00000242,2026-05-31 13:56:58,remove_watermark,9.9,failed,member_center
O0000023,U000060,T00000256,2026-06-23 06:07:53,remove_watermark,9.9,failed,popup
O0000024,U000064,T00000266,2026-06-10 02:36:13,hd_export,6.9,failed,finish_page
O0000025,U000065,T00000271,2026-06-18 10:40:33,hd_export,6.9,success,finish_page
O0000026,U000065,T00000272,2026-06-23 09:05:19,monthly_member,39.0,failed,download_page
O0000027,U000071,T00000302,2026-06-27 07:33:15,hd_export,6.9,failed,finish_page
O0000028,U000073,T00000310,2026-06-21 23:01:22,monthly_member,39.0,success,download_page
O0000029,U000074,T00000316,2026-06-20 14:55:12,remove_watermark,9.9,failed,finish_page
O0000030,U000075,T00000317,2026-06-22 13:09:34,monthly_member,39.0,failed,finish_page
O0000031,U000079,T00000335,2026-06-26 00:58:15,hd_export,6.9,success,finish_page
O0000032,U000080,T00000340,2026-06-17 13:20:29,monthly_member,39.0,success,download_page
O0000033,U000081,T00000348,2026-06-04 15:36:53,monthly_member,39.0,failed,download_page
O0000034,U000083,T00000353,2026-06-28 07:47:10,monthly_member,39.0,failed,download_page
O0000035,U000090,T00000381,2026-06-19 07:07:26,monthly_member,39.0,failed,download_page
O0000036,U000094,T00000395,2026-05-22 03:15:04,hd_export,6.9,success,popup
O0000037,U000094,T00000404,2026-06-20 12:17:54,credit_pack,29.0,failed,popup
O0000038,U000098,T00000415,2026-05-10 12:15:40,remove_watermark,9.9,failed,download_page
O0000039,U000098,T00000419,2026-06-02 00:34:53,remove_watermark,9.9,failed,member_center
O0000040,U000099,T00000424,2026-06-17 22:02:28,fast_generation,4.9,success,finish_page
O0000041,U000101,T00000435,2026-05-30 19:44:05,remove_watermark,9.9,success,finish_page
O0000042,U000104,T00000449,2026-06-29 10:19:15,hd_export,6.9,failed,member_center
O0000043,U000105,T00000450,2026-06-13 07:03:55,credit_pack,29.0,failed,finish_page
O0000044,U000111,T00000478,2026-06-28 05:17:51,remove_watermark,9.9,failed,download_page
O0000045,U000112,T00000479,2026-06-21 00:32:30,fast_generation,4.9,success,finish_page
O0000046,U000114,T00000483,2026-05-31 09:22:01,monthly_member,39.0,failed,finish_page
O0000047,U000115,T00000492,2026-06-12 07:50:26,hd_export,6.9,success,finish_page
O0000048,U000115,T00000493,2026-06-25 08:14:27,remove_watermark,9.9,success,member_center
O0000049,U000116,T00000501,2026-06-21 05:35:26,hd_export,6.9,failed,popup
O0000050,U000118,T00000504,2026-05-15 13:35:40,hd_export,6.9,failed,member_center
O0000051,U000120,T00000521,2026-06-07 19:02:55,fast_generation,4.9,failed,finish_page
O0000052,U000124,T00000532,2026-06-13 06:45:37,fast_generation,4.9,failed,download_page
O0000053,U000125,T00000537,2026-06-10 22:13:26,credit_pack,29.0,failed,finish_page
