user_id,register_date,first_visit_date,channel,device,region,user_type,is_paid
U000001,2026-05-11 00:00:00,2026-05-11 00:00:00,referral,Web,一线城市,free,0
U000002,2026-06-24 00:00:00,2026-06-24 00:00:00,search_ads,iOS,二线城市,free,0
U000003,2026-06-17 00:00:00,2026-06-17 00:00:00,short_video_ads,Android,新一线城市,free,0
U000004,2026-05-08 00:00:00,2026-05-07 00:00:00,search_ads,iOS,二线城市,free,0
U000005,2026-05-17 00:00:00,2026-05-17 00:00:00,short_video_ads,iOS,新一线城市,free,0
U000006,2026-06-22 00:00:00,2026-06-22 00:00:00,organic,iOS,一线城市,free,0
U000007,2026-05-16 00:00:00,2026-05-16 00:00:00,app_store,iOS,二线城市,free,0
U000008,2026-05-11 00:00:00,2026-05-11 00:00:00,short_video_ads,Web,新一线城市,free,0
U000009,2026-06-10 00:00:00,2026-06-10 00:00:00,app_store,iOS,一线城市,free,0
U000010,2026-05-01 00:00:00,2026-05-01 00:00:00,organic,iOS,二线城市,free,0
U000011,2026-05-09 00:00:00,2026-05-09 00:00:00,app_store,Android,二线城市,free,0
U000012,2026-06-29 00:00:00,2026-06-29 00:00:00,short_video_ads,Android,二线城市,free,0
U000013,2026-05-17 00:00:00,2026-05-17 00:00:00,app_store,iOS,新一线城市,free,0
U000014,2026-06-20 00:00:00,2026-06-20 00:00:00,app_store,Web,新一线城市,free,0
U000015,2026-05-09 00:00:00,2026-05-09 00:00:00,app_store,Web,新一线城市,free,0
U000016,2026-05-25 00:00:00,2026-05-25 00:00:00,search_ads,iOS,海外,free,0
U000017,2026-06-24 00:00:00,2026-06-24 00:00:00,app_store,Android,新一线城市,free,0
U000018,2026-05-24 00:00:00,2026-05-24 00:00:00,short_video_ads,Android,海外,free,0
U000019,2026-05-15 00:00:00,2026-05-15 00:00:00,short_video_ads,Web,二线城市,payer,1
U000020,2026-06-23 00:00:00,2026-06-23 00:00:00,organic,Web,新一线城市,free,0
U000021,2026-06-07 00:00:00,2026-06-07 00:00:00,app_store,Web,二线城市,free,0
U000022,2026-05-31 00:00:00,2026-05-31 00:00:00,app_store,Web,一线城市,free,0
U000023,2026-06-06 00:00:00,2026-06-06 00:00:00,short_video_ads,Web,一线城市,free,0
U000024,2026-05-12 00:00:00,2026-05-12 00:00:00,app_store,Web,二线城市,free,0
U000025,2026-06-02 00:00:00,2026-06-02 00:00:00,app_store,Android,一线城市,free,0
U000026,2026-05-24 00:00:00,2026-05-24 00:00:00,short_video_ads,Android,海外,free,0
U000027,2026-05-11 00:00:00,2026-05-11 00:00:00,short_video_ads,Android,一线城市,free,0
U000028,2026-06-24 00:00:00,2026-06-24 00:00:00,organic,Android,一线城市,free,0
U000029,2026-05-02 00:00:00,2026-05-02 00:00:00,short_video_ads,Web,海外,free,0
U000030,2026-05-02 00:00:00,2026-05-02 00:00:00,organic,iOS,海外,free,0
U000031,2026-06-14 00:00:00,2026-06-14 00:00:00,referral,Web,新一线城市,free,0
U000032,2026-05-06 00:00:00,2026-05-06 00:00:00,short_video_ads,iOS,新一线城市,payer,1
U000033,2026-06-03 00:00:00,2026-06-03 00:00:00,referral,Web,二线城市,free,0
U000034,2026-06-17 00:00:00,2026-06-17 00:00:00,organic,iOS,一线城市,free,0
U000035,2026-05-10 00:00:00,2026-05-10 00:00:00,short_video_ads,iOS,二线城市,free,0
U000036,2026-06-02 00:00:00,2026-06-02 00:00:00,search_ads,Android,新一线城市,free,0
U000037,2026-05-08 00:00:00,2026-05-08 00:00:00,short_video_ads,Android,新一线城市,free,0
U000038,2026-05-06 00:00:00,2026-05-06 00:00:00,short_video_ads,Android,海外,free,0
